Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20/23,Friday,3.65,Chai ,Food,Credit
1/20/23,Friday,1.5,Water bottle ,Food,Credit
1/20/23,Friday,8,Veggie burger,Food,Credit
1/20/23,Friday,4.5,Garlic fries,Food,Credit
1/20/23,Friday,4.25,milk shake ,Food,Credit
1/22/23,Sunday,2.45,Spinach ,Food,Credit
1/22/23,Sunday,2,Bell peppers ,Food,Credit
1/22/23,Sunday,2.99,grape tomatoes,Food,Credit
1/22/23,Sunday,1.49,Greek Yogurt ,Food,Credit
1/22/23,Sunday,2.29,Chocolate,Food,Credit
1/22/23,Sunday,3.99,Broccolette,Food,Credit
1/22/23,Sunday,4.99,apples ,Food,Credit
1/22/23,Sunday,7.99,Ice Cream,Food,Credit
1/26/23,Monday,3.74,hot chocolate ,Food,Cash
1/26/23,Monday,3,bagel,Food,Credit
1/30,Monday,3.65,Chai ,Food,Credit
1/31,Tuesday,3,Water bottle ,Food,Credit
2/2,Thursday,3,bagel,Food,Credit
2/6,Monday,3.65,chai ,Food,Credit
2/6,Monday,3,bagel,Food,Credit